	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31	V32	V33	V34	V35	V36	V37	V38	V39	V40	V41	V42	V43	V44	V45	V46	V47	V48	V49	V50	V51	V52	V53	V54	V55	V56	V57	V58
Adipocytes	0.04842	0.000346666666666717	0	0	1	0.161993333333333	0	0	1	0	0	0	0	0	1	0	0	0	1	0	1	0.000186666666666668	0	0.000653333333333284	0	0	1	0	0	0	0	1	0	1	0	0	9.33333333332786e-05	0	0	0	0	0.38385	0	0	0	0	0	0	1	0	0	0	0	0.286183333333333	0.05266	0	0	0
Astrocytes	1	0	0	0.16334	1	1	0	0.266366666666667	1	1	1	1	0.00356666666666672	0.14139	1	0.108736666666667	1	1	1	0.102233333333333	1	0	0	0.00408666666666668	0.0536333333333333	0.101746666666667	1	0	1	0	1	1	0	1	0.0782333333333334	0.313646666666667	0	0	1	1	0.0778	0.301726666666667	0	0.0649766666666667	0.00282666666666664	2.000000000002e-05	1	1	1	1	0.204493333333333	1	0.0593900000000001	1	0.22424	0.0236499999999999	0	1
B-cells	1	0	0.03932	0.15747	1	1	0.325216666666667	0.07576	0.201996666666667	0.0725633333333333	0.00380666666666662	1	0.000666666666666704	0.549516666666667	0.237496666666667	0.00914999999999999	0.337933333333333	0.0260666666666667	1	0	0.00641999999999998	0.1872	0	0.03023	0.73892	0.01741	0.00641999999999998	0.08445	0.08801	0.0237933333333333	0.130453333333333	0.58556	0.000486666666666635	0	0.5888	0.04122	0.00452333333333332	0.00658999999999998	1	1	1	0.55924	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.595983333333333	1
Basophils	0	0.163653333333333	1	0.537503333333333	0	0	0.164833333333333	0.707773333333333	0.0338833333333334	1	1	1	0.15887	0.222066666666667	0.00599666666666665	0.306096666666667	0.101643333333333	0.0446433333333334	0	0.348266666666667	0.0369333333333334	0.538506666666667	0.47905	0.141753333333333	0.441523333333333	1	0.0280866666666667	0.399183333333333	1	0.428956666666667	0.23979	0.00495999999999996	0.607683333333333	0.145903333333333	0.0409533333333333	0.128426666666667	0.173273333333333	0.0253533333333333	0	0	0.0627733333333333	0.00326000000000004	1	0.177573333333333	0.39531	1	0.365613333333333	1	0.0376966666666667	1	1	0.163433333333333	0.329733333333333	0.02042	0.246166666666667	1	0.222873333333333	1
CD4+ T-cells	0.34069	1	0.01935	0.0567733333333333	0.62857	0.592816666666667	0.07656	0.224896666666667	1	0.0233333333333333	0.452473333333333	0.388	0.206206666666667	0.30687	1	0.0183	0.308786666666667	0.231676666666667	0.66521	0.00122333333333335	0.607656666666667	0.142533333333333	0.115273333333333	0.08169	1	0.00731666666666664	1	0	0.0494866666666667	0.03322	0.34919	0.59148	0.0363866666666667	1	0.06338	2.66666666666193e-05	0.142533333333333	0.00186333333333333	0.00875999999999999	0.12434	0.11477	1	0.663373333333333	0.227263333333333	0.547673333333333	1	0.63309	0.53787	1	0.62512	1	0.547673333333333	1	1	1	0.34585	0.111406666666667	1
CD4+ Tcm	0	0.01716	1	0	0	0	0.21532	0	0	0	1	1	2.99999999999745e-05	0.0193866666666667	0.11733	1	0	1	1	1	0.216673333333333	0.342486666666667	1	1	1	0.0399233333333333	0.00250666666666666	1	0	0	0.00236333333333338	1	1	0	0	0	1	1	0	0	0	0	0.0633866666666667	0	0	1	0.00678999999999996	0	0.225076666666667	0.0672333333333334	0	0.000340000000000007	1	0.000426666666666686	0	0	0	1
CD4+ Tem	1	0.82757	1	1	1	1	1	1	1	1	1	0.91943	1	1	1	1	1	1	1	1	1	1	1	0.365996666666667	1	1	1	1	1	0.456496666666667	1	1	1	0.0326733333333333	1	1	1	1	1	1	1	1	1	1	0.711906666666667	1	1	1	1	1	1	1	1	1	0.00431000000000004	1	1	0.946993333333333
CD4+ memory T-cells	0.07197	0.0784366666666667	0.111543333333333	1	0.748133333333333	1	0.0573266666666666	0.647766666666667	0.655093333333333	1	0.0306233333333333	1	0.26688	0.166293333333333	0.40222	0.000213333333333288	0.621676666666667	0.199556666666667	0.720293333333333	0.0371433333333333	0.11353	0.356933333333333	0.130883333333333	0.23848	0.163833333333333	1	1	0.158626666666667	1	0.13021	0.827686666666667	0.456333333333333	0.08748	0.375216666666667	0.153673333333333	0.28158	0.0415866666666667	0.165006666666667	0.289256666666667	1	0.832766666666667	1	0.484073333333333	0.804063333333333	0.0557833333333333	0.42572	0.367466666666667	1	0.89142	0.287803333333333	1	0.621676666666667	0.251723333333333	0.69892	1	0.86257	0.100683333333333	0.759533333333333
CD4+ naive T-cells	0.64419	1	0.887023333333333	0.362853333333333	1	0.7736	1	0.69297	0.617176666666667	1	1	1	1	1	1	1	0.220296666666667	1	0.326966666666667	0.72084	0.35363	0.111086666666667	1	0.802533333333333	1	0.364043333333333	0.06493	0.172456666666667	1	0.0067733333333333	0.587816666666667	0.246483333333333	0.298143333333333	1	1	0.0551833333333334	1	0.586066666666667	0.0287466666666667	0.05751	0.0754899999999999	1	1	0.294183333333333	1	1	1	1	1	1	1	1	1	1	0.685553333333333	1	0.0632766666666666	1
CD8+ T-cells	0.121023333333333	0.309076666666667	0.377773333333333	0.115523333333333	1	1	0.479456666666667	0.328656666666667	0.592353333333333	0.0599933333333333	1	1	1	1	0.376503333333333	1	0.15789	1	1	1	0.667256666666667	1	0.0283333333333333	0.26788	1	0.481033333333333	0.25644	0.4577	0.11897	0.191593333333333	0.718023333333333	0.227993333333333	1	1	0.49159	0.242106666666667	1	1	0.09554	0.66458	0.20663	1	1	0.55072	0.61058	1	0.512993333333333	0.629006666666667	0.33107	0.43542	1	0.739506666666667	1	1	0.347426666666667	0.66458	1	1
CD8+ Tcm	1	1	0.33649	1	1	1	1	1	1	0.0309	1	1	1	1	1	1	1	1	1	1	1	1	0.615416666666667	1	1	1	1	0.407586666666667	0.163316666666667	0.64391	1	1	0.343496666666667	1	1	1	0.47129	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.61356	1
CD8+ Tem	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.526906666666667	1	1	1	1	1	0.85144	1	1	1	1	0.938193333333333	1	1	1	1	1	1	1	1	1	1	0.59962	0.867396666666667	0.373026666666667	0.400876666666667	0.420013333333333	0.863973333333333	1	1	1	0.90169	1	1	1	1	1	1	0.54547	1	0.834593333333333	0.725963333333333
CD8+ naive T-cells	0	0	0	0.00161666666666671	0.00568000000000002	0.00375000000000003	0	0.05063	0	0.0779233333333333	0	1	0.0230766666666666	0.113766666666667	0	0	0.0962	0	0	0	0	0	0	0	0	0.00477000000000005	0	0.449056666666667	0	1	0.0185	0	0.00864666666666669	0	0	1	0.84781	0	1	0.50211	1	0	0	1	0	0	0	0.000700000000000034	0	0	0.00165666666666664	0.0209633333333333	0	0	1	0	0.398726666666667	0.0309333333333334
CLP	0	0	0	0.0331399999999999	0	0.00512999999999997	0	0.08031	0	0.0270433333333333	0	0	0	0	0	0	0.191043333333333	0	0	0	0	0	0	0	0	0	0	0.0261333333333333	0.01698	0	0	0	0	0	0	0.665746666666667	0	0	1	0.897493333333333	1	0	0	1	0	0	0.165756666666667	0.560223333333333	0	0	0	0.245023333333333	0	0	0.11448	0	0	0.485213333333333
CMP	0.42628	1	0.220613333333333	0.00253000000000003	0.15518	0.17422	0.365313333333333	0.0646166666666667	0.49809	0.153253333333333	1	1	0.0487866666666666	1	0.343456666666667	0.0729333333333333	0.06163	0.486996666666667	0.276013333333333	0.15255	1	0.733516666666667	0.18516	0.04667	0.10804	0.0561333333333334	0.0153666666666666	0.0531666666666667	0.0647933333333334	1	0.0402166666666667	1	0.0223966666666666	1	0.0142266666666667	0.0632566666666666	0.129636666666667	0.00995000000000001	0.0243466666666666	0.567723333333333	0.0158166666666667	1	0.0963733333333333	0.05768	0.79281	0.04891	0.0541700000000001	0.02597	1	0.0321833333333333	0.285346666666667	0.133066666666667	0.0561333333333334	1	1	0.0532899999999999	0.616786666666667	0.0273166666666667
Chondrocytes	1	1	0.00243000000000004	1	1	1	0	1	1	0	1	1	0	1	1	0.06469	1	1	1	1	1	1	0	1	0.443386666666667	0.0159466666666667	1	0	4.99999999999945e-05	0.0151233333333334	1	1	1	1	1	1	0	0	1	0.564886666666667	1	0	0	0.401726666666667	1	0.0216933333333333	1	1	1	1	1	1	1	1	0	0.0156166666666666	0.310433333333333	1
Class-switched memory B-cells	0.527966666666667	0.297313333333333	0.04201	0	1	1	1	0	0.107913333333333	0	0.350706666666667	0	1	0	1	0.24353	0	0.13424	1	1	1	1	0.42242	1	1	0	0.0780433333333334	1	0	0.189613333333333	0	1	0.527966666666667	0	0.00124333333333337	0	0.562606666666667	0	1	1	1	0.286986666666667	1	0.546243333333333	1	1	0.62316	0	1	0	0	0	1	1	1	1	0	0
DC	1	0.10346	0	1	1	1	0.46559	1	1	1	0	0.0570833333333334	0.974226666666667	0.0929133333333333	1	0.00179666666666667	1	0.432846666666667	1	0.424663333333333	1	0	0	0	0	0.0113033333333333	0.914126666666667	0	0.562793333333333	1	0.601373333333333	1	1	0	0.887053333333333	1	0	1	1	1	1	0	0	1	1	0	1	0.215606666666667	1	1	1	1	0	1	1	0.142333333333333	1	1
Endothelial cells	0	0	1	0	0	0	1	0	0	1	0	1	0	0	0	1	0	0.0343866666666667	0	1	0	0	1	1	0.00987000000000005	1	0	0	1	0	0.00555000000000005	0	0	0	0.0708800000000001	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Eosinophils	0.129596666666667	1	0.279096666666667	0	0.0692199999999999	0.0073766666666667	0.00382000000000005	0	0.462696666666667	0.212023333333333	1	0.0314066666666667	0.0813633333333333	0.122483333333333	1	0.23174	0	0.265473333333333	1	0.38653	1	0.00831666666666664	0.1227	0.413606666666667	0.00324000000000002	0.563493333333333	0.679563333333333	0.0269333333333334	0.0101233333333334	0.153456666666667	0.0884200000000001	1	0.0189966666666667	0.319	0.0214033333333333	0.00190000000000001	0.24203	0.0768666666666666	0.25849	0.06807	0	0.00055000000000005	0	0	0.0112433333333334	0	0	0	0.0150066666666666	0	0	0	0.0421733333333333	0.0662199999999999	0	0.00909333333333329	0.12086	0
Epithelial cells	0.00571999999999995	0.25241	1	0	0	0	0	0	0	2.000000000002e-05	1	0.525246666666667	8.66666666666793e-05	0	0.13351	0.438293333333333	0	5.9999999999949e-05	0.237516666666667	0	0.000219999999999998	0	0.00212333333333337	0.29804	0.362883333333333	0.467183333333333	0	0.000383333333333291	0	0.00541666666666663	0.05472	0.387166666666667	1	0	0	2.66666666666193e-05	1	0	0	0.270416666666667	0	0.000456666666666661	0.277116666666667	0.0467866666666666	0	0	0	0	0	0	0	0.176983333333333	0.324903333333333	0	0	0.117246666666667	0	0
Erythrocytes	0.000166666666666648	9.66666666666338e-05	0.000780000000000003	1	1	1	0.00117	0.0117133333333334	0.00649	1	3.33333333335517e-06	1	0	1	0	0.00123666666666666	0.0700733333333333	0.000920000000000032	0.000430000000000041	0	0.0101066666666667	0	0.00990333333333338	0.65178	3.33333333335517e-06	1	1	0.0047233333333333	1	0.08408	1	0.00261333333333336	0.00379333333333332	0.0108866666666667	9.66666666666338e-05	1	1	0.0179133333333333	1	0.0757100000000001	0.582583333333333	1	0.0963000000000001	1	0.000393333333333357	0.32347	0.000406666666666666	0.0130766666666666	0.0164766666666667	1	1	0.0126566666666666	3.33333333335517e-06	1	1	0.0119899999999999	0.0407733333333333	1
